"Year","OccurDate","ClaimCost","ClaimCost2007"
1982,1982-01-01,2756559.053,821.492390459479
1982,1982-01-01,5408431.781,1611.7868208103
1982,1982-01-01,8092850.754,2411.78047838297
1982,1982-01-01,7517541.074,2240.33030619699
1982,1982-01-03,2606662.52,776.821168530914
1982,1982-01-04,6697462.83,1995.93574614061
1982,1982-01-06,8496511.623,2532.07695157076
1982,1982-01-06,2256558.237,672.485292236603
1982,1982-01-06,15413952.79,4593.56925805959
1982,1982-01-07,2650985.597,790.030053150172
1982,1982-01-07,14213194.54,4235.72683705906
1982,1982-01-07,39505990.41,11773.3267727605
1982,1982-01-09,3143554.292,936.82227742002
1982,1982-01-10,4809451.96,1433.28262208661
1982,1982-01-11,8647130.946,2576.96357482884
1982,1982-01-11,3821174.507,1138.76239172238
1982,1982-01-13,1949042.657,580.841433331131
1982,1982-01-14,1998757.133,595.657028768941
1982,1982-01-14,3459369.978,1030.93968170867
1982,1982-01-14,8634340.932,2573.15197530463
1982,1982-01-14,8440536.167,2515.39549825437
1982,1982-01-14,13262695.17,3952.46499336965
1982,1982-01-14,16581703.69,4941.57503622646
1982,1982-01-17,2508760.518,747.645029689912
1982,1982-01-17,7205610.578,2147.37074179464
1982,1982-01-20,4998570.564,1489.6425589112
1982,1982-01-21,2644501.239,788.097625565058
1982,1982-01-21,19340924.14,5763.86055947993
1982,1982-01-22,9751597.12,2906.10963700859
1982,1982-01-22,8288967.486,2470.22595329651
1982,1982-01-22,16587395.05,4943.27113953551
1982,1982-01-24,2071122.187,617.222806992154
1982,1982-01-28,2555507.252,761.57619732372
1982,1982-01-28,3173091.309,945.624713441104
1982,1982-01-28,11073016.45,3299.91071412307
1982,1982-01-28,15261163.51,4548.03595786521
1982,1982-01-31,9496752.59,2830.16247312782
1982,1982-02-01,2976430.491,887.017093440106
1982,1982-02-01,1600655.197,477.017193828613
1982,1982-02-01,2801624.066,834.922382178745
1982,1982-02-01,11727352.65,3494.91187272954
1982,1982-02-01,17411127.13,5188.7545928143
1982,1982-02-02,9046579.535,2696.0047308259
1982,1982-02-03,2171261.164,647.065595052279
1982,1982-02-03,1703710.859,507.729194006744
1982,1982-02-04,12064414.82,3595.36102054134
1982,1982-02-07,5433770.879,1619.33821941554
1982,1982-02-08,2996710.066,893.060684824851
1982,1982-02-09,6926140.166,2064.08472745487
1982,1982-02-11,3933052.023,1172.1034253409
1982,1982-02-11,8685059.016,2588.26665968599
1982,1982-02-11,2675479.047,797.329437057512
1982,1982-02-11,28835894.48,8593.49189767294
1982,1982-02-13,2449721.586,730.050618524996
1982,1982-02-13,11948498.94,3560.8164990845
1982,1982-02-13,13271970.17,3955.22907053071
1982,1982-02-16,9258565.713,2759.17951821892
1982,1982-02-16,3140189.255,935.819450259069
1982,1982-02-16,3979829.072,1186.04362726033
1982,1982-02-17,4103124.42,1222.78733135432
1982,1982-02-17,9532303.275,2840.75706466081
1982,1982-02-20,15276423.45,4552.58362920032
1982,1982-02-21,1736084.783,517.37706720807
1982,1982-02-21,1735588.563,517.229186844851
1982,1982-02-21,11693743.76,3484.89596272872
1982,1982-02-22,15971373.05,4759.68813782006
1982,1982-02-24,2478890.029,738.743214440898
1982,1982-02-25,5459328.568,1626.95476113569
1982,1982-02-25,5285512.986,1575.15533467287
1982,1982-02-26,8232944.164,2453.53023525587
1982,1982-02-26,2185530.262,651.317981886859
1982,1982-02-26,4033963.251,1202.17635478665
1982,1982-02-27,2462463.733,733.847953026944
1982,1982-02-28,5249679.887,1564.47657989596
1982,1982-02-28,5547736.984,1653.3016811908
1982,1982-03-01,4835231.433,1440.96525847944
1982,1982-03-02,2762925.34,823.38963126783
1982,1982-03-03,2901139.179,864.579250213639
1982,1982-03-04,4543210.341,1353.93896942875
1982,1982-03-04,8490054.39,2530.15260760753
1982,1982-03-04,6880173.662,2050.38607905808
1982,1982-03-04,37606446.83,11207.236743012
1982,1982-03-05,3962073.674,1180.75227522827
1982,1982-03-05,2389336.001,712.054886303349
1982,1982-03-05,12433450.43,3705.3386918318
1982,1982-03-06,5406252.246,1611.13728949868
1982,1982-03-06,24483995.05,7296.56620261149
1982,1982-03-10,5112480.824,1523.58937811081
1982,1982-03-11,4644576.304,1384.14741613896
1982,1982-03-12,1700199.03,506.682620817261
1982,1982-03-12,1657793.816,494.045285666072
1982,1982-03-13,16025336.5,4775.76998576367
1982,1982-03-15,3810434.789,1135.5618085159
1982,1982-03-15,7180539.535,2139.89922725444
1982,1982-03-15,16476814.73,4910.31668810966
1982,1982-03-16,5939917.795,1770.17693970199
1982,1982-03-16,4200254.17,1251.73332851168
1982,1982-03-16,22934937.09,6834.92569281151
1982,1982-03-17,13621038.93,4059.25634677391
1982,1982-03-22,1776040.81,529.284511054692
1982,1982-03-22,12157151.99,3622.99796863605
1982,1982-03-23,4788041.133,1426.9019020963
1982,1982-03-24,7077097.748,2109.07215653251
1982,1982-03-26,2457622.802,732.405289219357
1982,1982-03-26,3501818.272,1043.58985529049
1982,1982-03-27,3875359.744,1154.91033523271
1982,1982-03-27,8613944.881,2567.07367247499
1982,1982-03-28,1927963.706,574.559616938871
1982,1982-04-01,2260552.096,673.675516974758
1982,1982-04-03,2619909.879,780.769063135363
1982,1982-04-05,40671888.32,12120.7803345027
1982,1982-04-06,1668095.699,497.115388039788
1982,1982-04-06,5109031.591,1522.56145938753
1982,1982-04-07,7900561.842,2354.47574630919
1982,1982-04-07,2208822.425,658.259365798449
1982,1982-04-07,7616427.229,2269.79973612482
1982,1982-04-07,5166013.351,1539.54280509244
1982,1982-04-09,1629236.124,485.534701921619
1982,1982-04-10,2135590.466,636.435237999892
1982,1982-04-13,6756821.896,2013.62556162659
1982,1982-04-14,10148302.68,3024.33333275648
1982,1982-04-15,3262674.538,972.321743877001
1982,1982-04-16,18735922.01,5583.56163010786
1982,1982-04-20,2279087.697,679.199380197468
1982,1982-04-20,1965794.08,585.833587048604
1982,1982-04-21,6749019.633,2011.30038028288
1982,1982-04-22,1937375.199,577.364370885262
1982,1982-04-22,7549791.349,2249.94133030108
1982,1982-04-22,2212812.588,659.448489077932
1982,1982-04-22,4504569.092,1342.42334745185
1982,1982-04-22,19999436.52,5960.1062769822
1982,1982-04-23,5517301.002,1644.23134127483
1982,1982-04-23,13712857.76,4086.61961695809
1982,1982-04-26,2383633.999,710.355611532403
1982,1982-04-29,2229637.234,664.462464253299
1982,1982-04-30,10725118.94,3196.2324864378
1982,1982-05-01,2447677.899,729.441571779868
1982,1982-05-01,5891540.22,1755.75975909121
1982,1982-05-01,46066102.77,13728.3301957541
1982,1982-05-05,15386060,4585.256824227
1982,1982-05-06,1822380.461,543.094362373356
1982,1982-05-07,8043839.204,2397.17436453034
1982,1982-05-07,40219194.47,11985.8713607305
1982,1982-05-08,4601947.964,1371.44358638069
1982,1982-05-10,2723102.9,811.521998178698
1982,1982-05-10,8755563.855,2609.27806833549
1982,1982-05-10,5362559.469,1598.11624292089
1982,1982-05-11,7190184.277,2142.7734926007
1982,1982-05-11,25562561.69,7617.99384857437
1982,1982-05-11,229174938.1,68297.2735622262
1982,1982-05-12,6478462.723,1930.67071174401
1982,1982-05-12,3457326.993,1030.33084416917
1982,1982-05-12,5839006.942,1740.10412201137
1982,1982-05-12,2189627.216,652.538930348456
1982,1982-05-12,3935745.548,1172.90613271936
1982,1982-05-12,1849492.513,551.174125577958
1982,1982-05-13,4187296.15,1247.87166089609
1982,1982-05-13,3724562.638,1109.97073020321
1982,1982-05-14,5815363.251,1733.05797793631
1982,1982-05-14,4826302.903,1438.30443412851
1982,1982-05-16,2263828.458,674.651917769968
1982,1982-05-16,1876895.659,559.340638785484
1982,1982-05-19,13607639.46,4055.263121006
1982,1982-05-21,1777974.605,529.86080847719
1982,1982-05-25,14917023.05,4445.47738258943
1982,1982-05-26,2413152.226,719.152447875875
1982,1982-05-26,3250566.243,968.713305961219
1982,1982-05-27,3293027.34,981.367295012569
1982,1982-05-27,6692846.125,1994.55990475518
1982,1982-05-27,8043839.204,2397.17436453034
1982,1982-05-27,24036969.17,7163.34636160762
1982,1982-05-29,3424677.951,1020.60098203195
1982,1982-05-29,2596092.77,773.671238118718
1982,1982-05-29,5278442.432,1573.04821264296
1982,1982-05-29,9652607.354,2876.60932958225
1982,1982-05-29,2624785.713,782.222128515473
1982,1982-05-30,1572777.714,468.709321691885
1982,1982-05-30,6395804.255,1906.03735502519
1982,1982-05-30,23176399.2,6906.88471205814
1982,1982-05-31,4693336.172,1398.67852530501
1982,1982-06-01,2066810.086,615.937741774873
1982,1982-06-01,15719414.37,4684.60099680454
1982,1982-06-02,6610292.946,1969.95792560188
1982,1982-06-02,3585063.312,1068.39801850726
1982,1982-06-02,39159176.73,11669.9715412746
1982,1982-06-03,9540797.624,2843.28849712108
1982,1982-06-03,29750028.17,8865.9162701457
1982,1982-06-03,37897512.52,11293.9783091681
1982,1982-06-04,3351599.281,998.822536456998
1982,1982-06-04,12937549.08,3855.56700076834
1982,1982-06-04,23380183.97,6967.61536742514
1982,1982-06-05,3335511.662,994.028205432336
1982,1982-06-05,17696445.01,5273.78323278736
1982,1982-06-09,2802263.589,835.112968800661
1982,1982-06-10,4818576.51,1436.00186308499
1982,1982-06-10,5362559.469,1598.11624292089
1982,1982-06-10,8043839.204,2397.17436453034
1982,1982-06-11,2425604.26,722.863324726349
1982,1982-06-12,1698539.855,506.188163919827
1982,1982-06-13,2286937.96,681.538866199259
1982,1982-06-14,2652373.116,790.443552835179
1982,1982-06-14,7133281.484,2125.81568014444
1982,1982-06-14,22699738.05,6764.83315429212
1982,1982-06-16,1748617.409,521.111961579468
1982,1982-06-18,8814560.051,2626.8597435865
1982,1982-06-21,3135586.989,934.4479118936
1982,1982-06-22,2273344.773,677.487910109478
1982,1982-06-22,66023963.87,19676.0464275737
1982,1982-06-23,9999285.491,2979.9241673958
1982,1982-06-23,19797697.16,5899.98518183794
1982,1982-06-25,4423328.936,1318.21266715421
1982,1982-06-25,9313754.706,2775.62659477884
1982,1982-06-26,2250057.208,670.547896464927
1982,1982-06-26,3517839.049,1048.36426648274
1982,1982-06-26,3163011.812,942.62088514432
1982,1982-06-26,4937090.705,1471.32071803496
1982,1982-06-28,7707939.307,2297.0715900074
1982,1982-06-28,7054385.568,2102.30361550653
1982,1982-06-29,3019630.709,899.891350682869
1982,1982-06-29,13758592.12,4100.24908326016
1982,1982-06-29,14427228.59,4299.51191838459
1982,1982-06-29,21466946.39,6397.44433793074
1982,1982-06-29,69424603.29,20689.4835977973
1982,1982-07-01,1548992.529,461.62101046492
1982,1982-07-02,9608180.324,2863.36946554378
1982,1982-07-02,10420752.31,3105.52705780471
1982,1982-07-02,10420752.31,3105.52705780471
1982,1982-07-02,12462531.29,3714.00518681293
1982,1982-07-02,13025940.39,3881.90882300093
1982,1982-07-03,7815564.235,2329.14529409857
1982,1982-07-03,8447819.255,2517.56595833014
1982,1982-07-04,9560218.962,2849.07632211332
1982,1982-07-04,1861227.315,554.671257459119
1982,1982-07-05,7815564.235,2329.14529409857
1982,1982-07-05,7034007.661,2096.23071983765
1982,1982-07-06,2929494.445,873.029508234814
1982,1982-07-06,1843933.844,549.51756600612
1982,1982-07-07,7182338.855,2140.43544928328
1982,1982-07-07,2755903.801,821.297116379917
1982,1982-07-08,2822309.526,841.086932858209
1982,1982-07-09,8111167.502,2417.23912041119
1982,1982-07-09,8381470.698,2497.79317869962
1982,1982-07-09,17840803.81,5316.80413435912
1982,1982-07-10,6800393.101,2026.61037808162
1982,1982-07-10,5498755.13,1638.7044171533
1982,1982-07-11,9378677.383,2794.97444262041
1982,1982-07-11,40901476.75,12189.2008343201
1982,1982-07-12,8520608.295,2539.25809019424
1982,1982-07-12,1600749.578,477.045320660584
1982,1982-07-12,3517003.078,1048.11513566351
1982,1982-07-12,2943890.376,877.319693042286
1982,1982-07-12,6324770.744,1884.86839487155
1982,1982-07-13,3118487.486,929.35202556392
1982,1982-07-13,9695520.252,2889.39796152583
1982,1982-07-13,5095026.674,1518.38780211289
1982,1982-07-14,3261682.542,972.02611546865
1982,1982-07-14,19174183.84,5714.16966405584
1982,1982-07-14,21825517.42,6504.3034209109
1982,1982-07-14,40733255.43,12139.0685746311
1982,1982-07-15,4559079.513,1358.66820025249
1982,1982-07-15,5991932.731,1785.6781037593
1982,1982-07-15,3893477.205,1160.30958700268
1982,1982-07-15,3435962.217,1023.96384800822
1982,1982-07-15,16558040.47,4934.52307224165
1982,1982-07-15,19711221.71,5874.21431215197
1982,1982-07-15,23490692.89,7000.54854067209
1982,1982-07-15,26978792.78,8040.05013004636
1982,1982-07-15,38379181.49,11437.5222659517
1982,1982-07-16,2955116.464,880.665221176933
1982,1982-07-16,3296696.744,982.460827712419
1982,1982-07-16,2732141.263,814.215554269444
1982,1982-07-19,1709002.645,509.306218785592
1982,1982-07-19,10113470.12,3013.95275231904
1982,1982-07-20,2449202.323,729.895871031854
1982,1982-07-20,5210376.157,1552.76352949838
1982,1982-07-20,25231245.03,7519.25694151402
1982,1982-07-21,2015603.326,600.677425245719
1982,1982-07-21,2459439.998,732.946838541273
1982,1982-07-21,2354486.155,701.669154400915
1982,1982-07-21,4341980.632,1293.96975726986
1982,1982-07-22,3609954.545,1075.81594720224
1982,1982-07-22,1661700.225,495.209449105281
1982,1982-07-22,2894364.402,862.560273784855
1982,1982-07-22,10771870.71,3210.16515486866
1982,1982-07-22,10819535.69,3224.3699723997
1982,1982-07-22,34706835.05,10343.1126786411
1982,1982-07-24,2440080.939,727.177573544883
1982,1982-07-24,6773489.305,2018.59267802022
1982,1982-07-24,10941789.03,3260.80314382367
1982,1982-07-26,2962426.509,882.843714808289
1982,1982-07-28,11182412.75,3332.5123113559
1982,1982-07-29,9769454.166,2911.43128153825
1982,1982-07-29,1671825.067,498.226790833749
1982,1982-07-29,15631128.47,4658.29058819714
1982,1982-07-29,20198321.4,6019.37669795128
1982,1982-07-30,2216194.05,660.456211114072
1982,1982-07-30,50560088.72,15067.5996217942
1982,1982-07-30,53527695,15951.9869793756
1982,1982-07-31,2629155.22,783.524301507796
1982,1982-08-01,1914836.323,570.647476827303
1982,1982-08-01,24527870.89,7309.6418044731
1982,1982-08-01,132386040.5,39452.8550931829
1982,1982-08-02,2348152.487,699.781634501773
1982,1982-08-02,2294081.618,683.667774223435
1982,1982-08-04,3854161.826,1148.5930650434
1982,1982-08-04,2646042.493,788.556940387784
1982,1982-08-04,10563315.51,3148.01284595864
1982,1982-08-05,1677042.445,499.781641008457
1982,1982-08-05,3263388.57,972.534535202443
1982,1982-08-05,26227852.95,7816.25976525568
1982,1982-08-05,35951593.38,10714.0677267266
1982,1982-08-06,7737408.879,2305.85392649381
